symbol,timestamp,open,high,low,close,volume
GME,2021-01-15T14:00:00Z,35.8021,36.3,35.16,35.9672,2806990
GME,2021-01-15T15:00:00Z,35.99,38.49,35.8601,37.89,6818117
GME,2021-01-15T16:00:00Z,37.88,38.02,35.33,35.49,5603022
GME,2021-01-15T17:00:00Z,35.6,35.6,34.5,35.3498,649314
GME,2021-01-15T18:00:00Z,35.2,36,35.15,35.25,232415
GME,2021-01-15T19:00:00Z,35.8,36.07,35.69,35.9,36459
GME,2021-01-15T20:00:00Z,35.9,36.25,35.8,36,82471
GME,2021-01-19T05:00:00Z,39,42.61,38.31,40.9,90542
GME,2021-01-19T06:00:00Z,40.77,41.5,40.42,41.25,30841
GME,2021-01-19T07:00:00Z,41.1,41.1,40.31,40.34,32622
GME,2021-01-19T08:00:00Z,40.5,40.99,37.1,38.38,602216
GME,2021-01-19T09:00:00Z,38.38,41.24,37.2002,40.88,777327
GME,2021-01-19T10:00:00Z,40.85,45.52,39.25,40.7378,19049181
GME,2021-01-19T11:00:00Z,40.75,40.76,36.64,37.76,21488162
GME,2021-01-19T12:00:00Z,37.79,39.69,37.7301,39.6201,7493430
GME,2021-01-19T13:00:00Z,39.63,42.3,39.4,42.12,10673246
GME,2021-01-19T14:00:00Z,42.0295,42.1978,40.29,40.94,5291796
GME,2021-01-19T15:00:00Z,40.9444,40.99,39.6,40.276,3481742
GME,2021-01-19T16:00:00Z,40.2607,40.53,38.61,39.51,5441905
GME,2021-01-19T17:00:00Z,39.36,39.71,38.5101,38.8398,356903
GME,2021-01-19T18:00:00Z,38.84,38.96,38.65,38.89,114564
GME,2021-01-19T19:00:00Z,38.9,38.96,38.7,38.75,45556
GME,2021-01-19T20:00:00Z,38.7,38.8,38.56,38.6,58197
GME,2021-01-20T05:00:00Z,38.5,38.58,37.4,37.83,14014
GME,2021-01-20T06:00:00Z,38.05,38.05,37.65,37.7,10774
GME,2021-01-20T07:00:00Z,37.7,38,37.5,37.9,25344
GME,2021-01-20T08:00:00Z,37.92,38.5,37.54,38.42,155839
GME,2021-01-20T09:00:00Z,37.65,39,37.1,37.87,308178
GME,2021-01-20T10:00:00Z,37.95,39.3933,36.63,37.9175,4989695
GME,2021-01-20T11:00:00Z,37.97,38.19,36.4,36.86,5661812
GME,2021-01-20T12:00:00Z,36.86,41.1899,36.06,39.35,11109230
GME,2021-01-20T13:00:00Z,39.28,40.05,38.275,38.67,3078288
GME,2021-01-20T14:00:00Z,38.635,39.55,37.85,39.2744,2931624
GME,2021-01-20T15:00:00Z,39.275,39.97,38.83,39.59,2277319
GME,2021-01-20T16:00:00Z,39.6,40.14,38.71,39.12,2774510
GME,2021-01-20T17:00:00Z,39.01,39.2,38.69,38.8,59169
GME,2021-01-20T18:00:00Z,38.84,39.12,38.71,38.71,95437
GME,2021-01-20T19:00:00Z,38.83,39,38.81,38.9,8535
GME,2021-01-20T20:00:00Z,38.89,39.1,38.8,39.05,28372
GME,2021-01-21T05:00:00Z,39.2,39.2,39.2,39.2,390
GME,2021-01-21T07:00:00Z,38.95,39,38.9,38.9,1975
GME,2021-01-21T08:00:00Z,38.75,39.02,38.54,38.56,12525
GME,2021-01-21T09:00:00Z,38.5501,39.38,38.54,39,38791
GME,2021-01-21T10:00:00Z,39.05,39.79,37.52,38.5,2752987
GME,2021-01-21T11:00:00Z,38.51,40.53,37.86,39.8675,5334277
GME,2021-01-21T12:00:00Z,39.8289,44.75,39.38,42.2501,12717224
GME,2021-01-21T13:00:00Z,42.3,42.8,37,39.7,13200175
GME,2021-01-21T14:00:00Z,39.61,42.59,39.38,42.218,7001864
GME,2021-01-21T15:00:00Z,42.2413,42.55,40.02,40.56,5390985
GME,2021-01-21T16:00:00Z,40.53,43.19,40.52,43.02,9078729
GME,2021-01-21T17:00:00Z,43.03,44.1,42.2602,42.98,382460
GME,2021-01-21T18:00:00Z,42.81,43.9,42.5,43.5,166044
GME,2021-01-21T19:00:00Z,43.9,45.45,43.38,45.39,320712
GME,2021-01-21T20:00:00Z,45.31,47.47,45.23,45.35,584017
GME,2021-01-22T05:00:00Z,44.66,45.5,44.14,45.1,35683
GME,2021-01-22T06:00:00Z,45.1,45.1,44.02,44.34,7190
GME,2021-01-22T07:00:00Z,44.76,45.2,44.3,44.4,11934
GME,2021-01-22T08:00:00Z,44.81,46.94,44.05,45.25,185085
GME,2021-01-22T09:00:00Z,44.7672,46.94,43.3,44.39,375581
GME,2021-01-22T10:00:00Z,44.19,46.29,42.32,45.98,8174769
GME,2021-01-22T11:00:00Z,45.99,47.73,43.77,47.6795,11901110
GME,2021-01-22T12:00:00Z,47.687,53.95,46.78,52.2,23828721
GME,2021-01-22T13:00:00Z,52.2,76.7573,52.0544,70.3,57852728
