,BB,BB,BB,BB,BB,BB,AMC,AMC,AMC,AMC,AMC,AMC,GME,GME,GME,GME,GME,GME
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2020-12-18,7.010000228881836,7.019999980926514,6.880000114440918,6.934999942779541,6.934999942779541,5935314,2.7688000202178955,2.799999952316284,2.759999990463257,2.7899999618530273,2.7899999618530273,2223743,15.600000381469727,15.770000457763672,15.545000076293945,15.630000114440918,15.630000114440918,1493388
2020-12-21,6.840000152587891,7.139999866485596,6.730000019073486,7.031499862670898,7.031499862670898,8228542,2.609999895095825,2.7149999141693115,2.5799999237060547,2.674999952316284,2.674999952316284,8665283,16.200000762939453,16.347999572753906,15.530099868774414,15.770000457763672,15.770000457763672,3987488
2020-12-21,7.030700206756592,7.150000095367432,7.0,7.074999809265137,7.074999809265137,1863709,2.680000066757202,2.740000009536743,2.6600000858306885,2.7160000801086426,2.7160000801086426,2520826,15.788299560546875,15.84000015258789,15.380000114440918,15.462200164794922,15.462200164794922,985578
2020-12-21,7.079999923706055,7.110000133514404,7.019999980926514,7.025000095367432,7.025000095367432,1462316,2.7149999141693115,2.7200000286102295,2.6700000762939453,2.674999952316284,2.674999952316284,1436661,15.460100173950195,15.5600004196167,15.345000267028809,15.470000267028809,15.470000267028809,713978
2020-12-21,7.03000020980835,7.130000114440918,7.019999980926514,7.110099792480469,7.110099792480469,1207571,2.674999952316284,2.680000066757202,2.6500000953674316,2.668800115585327,2.668800115585327,2105815,15.470000267028809,15.539999961853027,15.352499961853027,15.390000343322754,15.390000343322754,640610
2020-12-21,7.114999771118164,7.139999866485596,7.070000171661377,7.09499979019165,7.09499979019165,890732,2.6649999618530273,2.699899911880493,2.6500000953674316,2.6865999698638916,2.6865999698638916,1989899,15.399999618530273,15.457500457763672,15.279999732971191,15.38010025024414,15.38010025024414,602492
2020-12-21,7.099999904632568,7.199999809265137,7.090000152587891,7.139999866485596,7.139999866485596,1885339,2.684999942779541,2.690000057220459,2.6500000953674316,2.6600000858306885,2.6600000858306885,2562611,15.380000114440918,15.4350004196167,15.329999923706055,15.414999961853027,15.414999961853027,690387
2020-12-21,7.130000114440918,7.139999866485596,7.090000152587891,7.105000019073486,7.105000019073486,2208674,2.6500000953674316,2.680000066757202,2.6500000953674316,2.678800106048584,2.678800106048584,2486818,15.420000076293945,15.765000343322754,15.34000015258789,15.5201997756958,15.5201997756958,1892998
2020-12-22,7.179999828338623,7.190000057220459,7.050000190734863,7.120999813079834,7.120999813079834,3557611,2.7300000190734863,2.75,2.609999895095825,2.625,2.625,5551178,16.219999313354492,19.420000076293945,16.149999618530273,18.834999084472656,18.834999084472656,7733528
2020-12-22,7.125,7.408400058746338,7.050000190734863,7.375,7.375,5845222,2.625,2.640000104904175,2.5999999046325684,2.619999885559082,2.619999885559082,2609260,18.806499481201172,19.739999771118164,18.530000686645508,19.0,19.0,6086795
2020-12-22,7.370500087738037,7.440000057220459,7.21999979019165,7.231900215148926,7.231900215148926,3078788,2.609999895095825,2.619999885559082,2.5299999713897705,2.5587000846862793,2.5587000846862793,3897130,19.0,19.1299991607666,18.610000610351562,18.639999389648438,18.639999389648438,2704439
2020-12-22,7.23390007019043,7.264999866485596,7.179999828338623,7.210999965667725,7.210999965667725,990894,2.551300048828125,2.569999933242798,2.5199999809265137,2.555000066757202,2.555000066757202,3118725,18.649999618530273,19.84000015258789,18.645000457763672,19.770099639892578,19.770099639892578,3447397
2020-12-22,7.210000038146973,7.258500099182129,7.179999828338623,7.224999904632568,7.224999904632568,917708,2.555000066757202,2.5850000381469727,2.549999952316284,2.5799999237060547,2.5799999237060547,1681067,19.770000457763672,20.0,19.25,19.980100631713867,19.980100631713867,3249426
2020-12-22,7.225200176239014,7.260000228881836,7.199999809265137,7.224999904632568,7.224999904632568,978077,2.578700065612793,2.5799999237060547,2.549999952316284,2.5785000324249268,2.5785000324249268,1500246,20.0,20.040000915527344,18.799999237060547,18.833499908447266,18.833499908447266,4442849
